wire [31:0] if_instruction_w;
[5000][ID-SIGNAL] PC=00000000 INSTR=00000000 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=0 WB_SE=00 RD_ADDR=00000
[695000][ID-SIGNAL] PC=00000004 INSTR=00200113 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000002 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00010
[705000][ID-SIGNAL] PC=00000008 INSTR=00300193 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000003 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00011
[715000][ID-SIGNAL] PC=0000000c INSTR=00400213 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000004 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00100
[725000][ID-SIGNAL] PC=00000010 INSTR=00500293 | RS1_ADDR=00 RS1_ADDR=00 | RS1_DATA=00000000 RS2_DATA=00000000 | IMM=00000005 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=0 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00101
[735000][ID-SIGNAL] PC=00000014 INSTR=00208333 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0000 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00110
[745000][ID-SIGNAL] PC=00000018 INSTR=401183b3 | RS1_ADDR=03 RS1_ADDR=01 | RS1_DATA=00000003 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0001 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=00111
[755000][ID-SIGNAL] PC=0000001c INSTR=00209433 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0010 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01000
[765000][ID-SIGNAL] PC=00000020 INSTR=0020a4b3 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0011 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01001
[775000][ID-SIGNAL] PC=00000024 INSTR=0020b533 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0100 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01010
[785000][ID-SIGNAL] PC=00000028 INSTR=0020c5b3 | RS1_ADDR=01 RS1_ADDR=02 | RS1_DATA=00000001 RS2_DATA=00000002 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0101 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01011
[795000][ID-SIGNAL] PC=0000002c INSTR=00115633 | RS1_ADDR=02 RS1_ADDR=01 | RS1_DATA=00000002 RS2_DATA=00000001 | IMM=00000000 | JAL=0 JALR=0 ALU_SRC1_SE=0 ALU_SRC2_SE=1 ALU_OP=0110 | MEMREAD=0 MEMWRITE=0 WIDTH_SE=000 | REGWRITE=1 WB_SE=00 RD_ADDR=01100
